year,locality_id,pland_00_water,pland_01_evergreen_needleleaf,pland_03_deciduous_needleleaf,pland_04_deciduous_broadleaf,pland_05_mixed_forest,pland_08_woody_savanna,pland_09_savanna,pland_10_grassland,pland_11_wetland,pland_12_cropland,pland_13_urban,pland_14_mosiac,pland_15_barren
2011,L169447,0.03225806451612903,0,0,0,0,0,0.03225806451612903,0.12903225806451613,0.5161290322580645,0.0967741935483871,0.06451612903225806,0,0.12903225806451613
2011,L285907,0.06666666666666667,0,0,0,0,0,0,0.23333333333333334,0.13333333333333333,0.5333333333333333,0,0,0.03333333333333333
2011,L454170,0.26666666666666666,0,0,0,0,0,0,0,0.13333333333333333,0,0.6,0,0
2011,L293494,0.06666666666666667,0,0,0,0,0,0,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.43333333333333335,0,0.03333333333333333
2011,L988763,0.4,0,0,0,0,0,0,0.03333333333333333,0.13333333333333333,0,0.43333333333333335,0,0
2011,L10021980,0.12903225806451613,0,0,0,0,0,0,0.3870967741935484,0.16129032258064516,0.3225806451612903,0,0,0
2011,L3176152,0.0967741935483871,0,0,0,0,0,0.3870967741935484,0.12903225806451613,0.0967741935483871,0.03225806451612903,0.22580645161290322,0,0.03225806451612903
2011,L918030,0.23333333333333334,0,0,0.03333333333333333,0,0,0,0.2,0.16666666666666666,0.36666666666666664,0,0,0
2011,L1217315,0.1935483870967742,0,0,0,0,0,0,0,0.0967741935483871,0,0.7096774193548387,0,0
2011,L1185168,0.26666666666666666,0,0,0,0,0,0.03333333333333333,0.03333333333333333,0.13333333333333333,0,0.5333333333333333,0,0
2011,L301907,0.03333333333333333,0,0,0,0,0,0.3333333333333333,0.16666666666666666,0.26666666666666666,0.1,0,0.1,0
2011,L924825,0.06666666666666667,0,0,0,0,0,0.3,0,0.23333333333333334,0.1,0.06666666666666667,0.23333333333333334,0
2011,L1146221,0.0625,0,0,0,0,0,0,0,0.09375,0,0.84375,0,0
2011,L152687,0.3,0,0,0,0,0,0,0,0.06666666666666667,0,0.6333333333333333,0,0
2011,L10022016,0.03333333333333333,0,0,0,0,0,0,0.43333333333333335,0.06666666666666667,0.4666666666666667,0,0,0
2011,L10021966,0.12903225806451613,0,0,0,0,0,0,0.45161290322580644,0.06451612903225806,0.3548387096774194,0,0,0
2011,L291879,0.03333333333333333,0,0,0,0,0,0,0.16666666666666666,0.36666666666666664,0.36666666666666664,0.03333333333333333,0,0.03333333333333333
2011,L358647,0.25,0,0,0,0,0,0,0.21875,0.1875,0.34375,0,0,0
2011,L10021904,0.16129032258064516,0,0,0,0,0,0,0.2903225806451613,0.12903225806451613,0.41935483870967744,0,0,0
2011,L213003,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,L1203013,0.13333333333333333,0,0,0,0,0,0.16666666666666666,0.06666666666666667,0.2,0.4,0,0.03333333333333333,0
2011,L1211406,0.3125,0,0,0,0,0,0,0,0.0625,0,0.625,0,0
2011,L1213219,0.2,0,0,0,0,0,0.06666666666666667,0.06666666666666667,0.23333333333333334,0.1,0.3333333333333333,0,0
2013,L325696,0.03333333333333333,0,0,0,0,0,0,0.2,0.3,0.4,0,0,0.06666666666666667
2013,L298330,0.03225806451612903,0,0,0,0,0,0.06451612903225806,0.1935483870967742,0.4838709677419355,0.22580645161290322,0,0,0
2013,L152740,0.23333333333333334,0,0,0,0,0,0.03333333333333333,0,0.03333333333333333,0,0.7,0,0
2013,L1496612,0.2413793103448276,0,0,0,0,0,0,0,0.06896551724137931,0,0.6896551724137931,0,0
2013,L2219745,0.28125,0,0,0,0,0,0.0625,0.1875,0.25,0.15625,0.0625,0,0
2013,L383952,0.3125,0,0,0,0,0,0,0.125,0.375,0.1875,0,0,0
2013,L1496625,0.3225806451612903,0,0,0,0,0,0,0,0.06451612903225806,0,0.6129032258064516,0,0
2013,L166090,0.16666666666666666,0,0,0,0,0,0.13333333333333333,0.16666666666666666,0.4,0.13333333333333333,0,0,0
2013,L152692,0.36666666666666664,0,0,0,0,0,0,0,0.13333333333333333,0,0.5,0,0
2013,L862470,0.034482758620689655,0,0,0,0,0,0,0.034482758620689655,0.1724137931034483,0.7586206896551724,0,0,0
2013,L3642826,0.3870967741935484,0,0,0,0,0,0,0.06451612903225806,0.3548387096774194,0.1935483870967742,0,0,0
2013,L2237164,0.09375,0,0,0,0,0,0,0,0.1875,0.71875,0,0,0
2013,L1277623,0.13333333333333333,0,0,0,0,0,0,0.03333333333333333,0.4666666666666667,0.26666666666666666,0,0.1,0
