year,locality_id,pland_00_water,pland_03_deciduous_needleleaf,pland_04_deciduous_broadleaf,pland_05_mixed_forest,pland_08_woody_savanna,pland_09_savanna,pland_10_grassland,pland_11_wetland,pland_12_cropland,pland_13_urban,pland_14_mosiac,pland_15_barren,id,elevation_median,elevation_sd
2016,L2933608,0,0,0.84375,0,0,0.15625,0,0,0,0,0,0,2007,214.49598257882255,14.041515351611912
2016,L932097,0,0,0.09375,0,0,0.28125,0.09375,0,0,0.53125,0,0,646,199.8647575378418,4.459338796620645
2016,L932083,0,0,0.06666666666666667,0,0,0.23333333333333334,0.06666666666666667,0,0,0.6333333333333333,0,0,458,200.68613962026743,5.076890410720675
2016,L3672699,0,0,0.6333333333333333,0,0,0.2,0.03333333333333333,0.03333333333333333,0,0.1,0,0,2889,206.54266826923077,14.78702058982221
2016,L2914642,0,0,0.03333333333333333,0,0,0.3333333333333333,0.3,0,0,0.3333333333333333,0,0,2359,232.42634465144232,4.572963765739455
2016,L558325,0,0,0.1,0,0,0.4666666666666667,0.26666666666666666,0.16666666666666666,0,0,0,0,375,219.1100641886393,3.307611726866177
2016,L558321,0,0,0.06666666666666667,0,0,0.4,0.3,0.16666666666666666,0,0.06666666666666667,0,0,420,219.4520278930664,3.383897228283193
2016,L2360173,0,0,0.4375,0,0.0625,0,0,0,0.28125,0,0.21875,0,1121,215.16119107333097,21.770059379478088
2016,L1217643,0,0,0.06451612903225806,0,0,0,0.06451612903225806,0,0.6129032258064516,0.06451612903225806,0.1935483870967742,0,746,202.27883911132812,12.077406969501212
2016,L717277,0,0,0.6451612903225806,0,0,0.03225806451612903,0,0,0,0.3225806451612903,0,0,600,211.47407404581705,12.584436603042528
2016,L717188,0,0,0.5333333333333333,0,0,0,0,0,0,0.4666666666666667,0,0,1146,217.90904405381946,5.543202188794015
2016,L4695750,0,0,0.71875,0,0,0.1875,0,0,0,0.09375,0,0,2894,210.38773040771486,10.537480109840095
2016,L3980081,0,0,0.1,0,0,0,0,0,0.8666666666666667,0,0.03333333333333333,0,2895,201.22659301757813,0.4983848399027466
2016,L4690160,0,0,0.21875,0,0,0.5625,0.0625,0,0,0.15625,0,0,2480,209.59361544522372,3.2153608285358626
2016,L3880749,0,0,0.06666666666666667,0,0,0,0,0,0.9,0,0.03333333333333333,0,2902,186.49989997016058,8.028005345573002
2016,L124174,0,0,0.5483870967741935,0,0,0.03225806451612903,0,0,0,0.41935483870967744,0,0,472,215.46649475097655,9.325955195405804
2016,L932111,0,0,0.13333333333333333,0,0,0.3333333333333333,0.1,0,0,0.43333333333333335,0,0,360,201.12523735894098,3.6911905863617904
2016,L4690230,0,0,0.1935483870967742,0,0,0.41935483870967744,0.03225806451612903,0,0,0.3548387096774194,0,0,2906,209.89065413041547,2.8159498939905
2016,L3801370,0,0,0.25,0,0.03125,0.03125,0,0,0.59375,0,0.09375,0,2908,207.84214443630643,9.67059587284831
2016,L3674906,0,0,0.5333333333333333,0,0,0.36666666666666664,0,0,0,0.1,0,0,2266,208.2923126220703,13.655333663408783
2016,L922173,0,0,0.13333333333333333,0,0,0.3,0.16666666666666666,0,0,0.4,0,0,651,201.9886001586914,4.423230125876198
2016,L405246,0,0,0.1935483870967742,0,0,0.03225806451612903,0,0,0.7741935483870968,0,0,0,1091,234.46746656629773,8.874175261944913
2016,L1878133,0,0,0.13333333333333333,0,0,0.23333333333333334,0.03333333333333333,0,0,0.6,0,0,1410,230.93394809299045,4.8956528330290885
2016,L2963627,0,0,0.16666666666666666,0,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.3333333333333333,0,0.3,0,2918,207.19511061448318,4.904893424999016
2016,L3406237,0,0,0.5,0,0.03333333333333333,0,0,0,0.26666666666666666,0,0.2,0,2921,181.4538319905599,16.94647696887403
2016,L560790,0,0,0.03333333333333333,0,0,0.3,0.2,0.03333333333333333,0.03333333333333333,0.4,0,0,398,217.2318313598633,3.0943026672081513
2016,L4668244,0,0,0.22580645161290322,0,0.03225806451612903,0.03225806451612903,0,0,0.7096774193548387,0,0,0,2922,209.87204106648764,13.614119688820319
2016,L3007108,0,0,0.03333333333333333,0,0.3333333333333333,0.2,0,0,0.1,0,0.3333333333333333,0,2304,270.14917813814606,10.309138058219062
2016,L1581348,0,0,0.12903225806451613,0,0,0.2903225806451613,0.12903225806451613,0,0,0.45161290322580644,0,0,2925,203.7493133544922,2.8728375839277516
2016,L11684778,0,0,0.21875,0,0,0.53125,0.0625,0,0,0.1875,0,0,2926,197.4270794208233,11.94522760247396
2016,L3545132,0,0,0.06666666666666667,0,0.13333333333333333,0.06666666666666667,0.16666666666666666,0,0.4666666666666667,0,0.1,0,2928,168.57139587402344,21.707238888218335
2016,L896293,0,0,0.15625,0,0,0.15625,0.0625,0,0,0.625,0,0,542,196.22750549316407,11.367856800332834
2016,L1170770,0,0,0.16666666666666666,0,0,0.5333333333333333,0,0,0,0.3,0,0,1550,206.99239349365234,4.7637232959503795
2016,L4533241,0,0,0.13333333333333333,0,0,0.3,0.16666666666666666,0,0,0.4,0,0,2938,204.71733940972223,2.798225487579043
2016,L555026,0,0,0.3333333333333333,0,0,0.36666666666666664,0,0,0,0.3,0,0,252,215.22890061598557,11.2660353167067
2016,L11684100,0,0,0.6333333333333333,0,0,0.3,0,0.03333333333333333,0,0.03333333333333333,0,0,2940,201.01202670010653,13.609066126354554
2016,L3176398,0,0,0.0625,0,0.0625,0.125,0,0,0.5,0,0.25,0,2941,224.2294489542643,5.61037675205706
2016,L1581417,0,0,0.1,0,0,0.26666666666666666,0.13333333333333333,0,0,0.5,0,0,1118,204.54955638538706,2.710652643214986
2016,L900276,0,0,0.1,0,0,0.36666666666666664,0.1,0,0,0.43333333333333335,0,0,681,199.91174485948352,1.2651491015358212
2016,L3674832,0,0,0.4666666666666667,0,0,0.3333333333333333,0,0,0,0.2,0,0,2945,207.77252027723523,14.45142256286733
2016,L4720248,0,0,0.4,0.03333333333333333,0.06666666666666667,0.26666666666666666,0,0,0.2,0,0.03333333333333333,0,2946,266.45319747924805,7.4496555791508365
2016,L10022477,0,0,0.03125,0,0,0,0,0,0.84375,0,0.125,0,883,188.95315551757812,0.8937298377342813
2016,L340496,0,0,0.03125,0,0.03125,0,0.4375,0.125,0.34375,0,0.03125,0,1589,150.1945440118963,20.370576613130236
2016,L713402,0,0,0.36666666666666664,0,0,0.03333333333333333,0,0,0.5,0,0.1,0,1716,222.95511627197266,4.197573783884313
2016,L4693719,0,0,0.15625,0,0,0.59375,0,0,0,0.25,0,0,750,207.66292826334634,4.524544421820957
2016,L3882170,0,0,0.13333333333333333,0,0.03333333333333333,0.16666666666666666,0.13333333333333333,0.06666666666666667,0.3333333333333333,0,0.13333333333333333,0,2951,191.75594753689236,8.154425804494384
2016,L83533,0,0,0.0625,0,0,0.34375,0.03125,0,0,0.5625,0,0,363,205.09170277913412,3.6316479049663237
2016,L4689963,0,0,0.03225806451612903,0,0,0.03225806451612903,0.12903225806451613,0.0967741935483871,0.45161290322580644,0.12903225806451613,0.12903225806451613,0,2955,168.21280963604266,21.142548932687262
2016,L874269,0,0,0.25806451612903225,0,0,0.16129032258064516,0,0,0.5483870967741935,0,0.03225806451612903,0,1039,129.58874053955077,3.212614165360617
2016,L2904327,0,0,0.06896551724137931,0,0,0.2413793103448276,0.13793103448275862,0,0.034482758620689655,0.5172413793103449,0,0,2176,206.3420206705729,12.605957089214114
2016,L4717667,0,0,0.40625,0.03125,0.0625,0.25,0,0,0.21875,0,0.03125,0,2958,266.45319747924805,7.4496555791508365
2016,L900288,0,0,0.1,0,0,0.4,0.06666666666666667,0,0,0.43333333333333335,0,0,797,199.60455909142127,1.2228346988308862
2016,L673291,0,0,0.16129032258064516,0,0,0.03225806451612903,0.25806451612903225,0.16129032258064516,0.3225806451612903,0.06451612903225806,0,0,2962,150.9620107014974,8.984166565192846
2016,L2791291,0,0,0.03333333333333333,0,0,0.3,0.13333333333333333,0,0.13333333333333333,0.4,0,0,2159,221.65094502766928,4.216399417735853
2016,L10022456,0,0,0.06451612903225806,0,0,0.2903225806451613,0,0,0.5161290322580645,0,0.12903225806451613,0,1444,179.74480523003473,2.941776152412527
2016,L4722412,0,0,0.034482758620689655,0,0,0.06896551724137931,0.034482758620689655,0.06896551724137931,0.20689655172413793,0.5862068965517241,0,0,2971,206.22874323527017,12.732218866254444
2016,L560774,0,0,0.03225806451612903,0,0,0.2903225806451613,0.22580645161290322,0.1935483870967742,0.03225806451612903,0.22580645161290322,0,0,86,219.43752924601236,3.4588256781215247
2016,L559755,0,0,0.03333333333333333,0,0,0.3333333333333333,0.4,0,0,0.23333333333333334,0,0,1937,217.82252502441406,3.5795535974669788
2016,L392971,0,0,0.12903225806451613,0,0.03225806451612903,0.06451612903225806,0,0,0.7419354838709677,0,0.03225806451612903,0,2975,190.9611719304865,8.660082656833268
2016,L4693667,0,0,0.23333333333333334,0,0,0.5,0,0,0,0.26666666666666666,0,0,503,204.94469197591147,4.155272682755242
2016,L717197,0,0,0.6551724137931034,0,0,0,0,0,0,0.3448275862068966,0,0,219,215.46649475097655,9.325955195405804
2016,L2263739,0,0,0.06666666666666667,0,0,0.43333333333333335,0.5,0,0,0,0,0,1847,219.27056121826172,3.8408816546835456
2016,L152731,0,0,0.0967741935483871,0,0,0.5161290322580645,0,0,0,0.3870967741935484,0,0,379,207.43098801832932,6.16693514917203
2016,L2295838,0,0,0.7096774193548387,0,0.0967741935483871,0.12903225806451613,0,0,0.06451612903225806,0,0,0,2988,225.85343228853665,10.079844010403622
